GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transfer,com.paymybudy.transfer.functionaltest,FunctionalScenario,225,3,8,0,45,2,8,1,4,1
transfer,com.paymybudy.transfer.models,EnumAppAccountStatus,0,44,0,0,0,5,0,1,0,1
transfer,com.paymybudy.transfer.models,AppAccount,28,50,4,4,6,17,8,9,5,8
transfer,com.paymybudy.transfer.models,User,104,87,13,5,18,30,19,15,11,14
transfer,com.paymybudy.transfer.models,MoneyTransferTypeKey,24,45,4,4,4,11,7,5,4,4
transfer,com.paymybudy.transfer.models,MoneyTransferType,34,78,6,4,6,21,9,9,5,8
transfer,com.paymybudy.transfer.models,InternalCashAccount,59,94,1,3,15,27,10,13,9,12
transfer,com.paymybudy.transfer.models,EnumAppAccountStatusConverter,26,3,4,0,9,1,5,1,3,1
transfer,com.paymybudy.transfer.models,EnumTransacStatusConverter,26,3,4,0,9,1,5,1,3,1
transfer,com.paymybudy.transfer.models,EnumTransacStatus,0,44,0,0,0,5,0,1,0,1
transfer,com.paymybudy.transfer.models,BankAccount,28,44,0,0,6,16,6,7,6,7
transfer,com.paymybudy.transfer.models,ExternalTransaction,61,76,6,6,11,23,16,9,11,8
transfer,com.paymybudy.transfer.models,InternalTransaction,55,85,6,4,14,21,11,13,7,12
transfer,com.paymybudy.transfer,TransferApplication,5,16,0,0,2,5,1,3,1,3
transfer,com.paymybudy.transfer.exception,IntMoneyTransferExecutionException,0,4,0,0,0,2,0,1,0,1
transfer,com.paymybudy.transfer.exception,IntMoneyTransferPreparationException,0,4,0,0,0,2,0,1,0,1
transfer,com.paymybudy.transfer.config,SecurityConfiguration,0,77,0,0,0,23,0,5,0,5
transfer,com.paymybudy.transfer.dal.service,BankAccountDalServiceBean,24,71,8,8,2,24,8,7,0,7
transfer,com.paymybudy.transfer.dal.service,InternalTransactionDalServiceBean,22,68,7,7,1,23,7,7,0,7
transfer,com.paymybudy.transfer.dal.service,InternalCashAccountDalServiceBean,22,68,7,7,1,23,7,7,0,7
transfer,com.paymybudy.transfer.dal.service,ExternalTransactionDalServiceBean,24,71,8,8,2,24,8,7,0,7
transfer,com.paymybudy.transfer.dal.service,MoneyTransferTypeDalServiceBean,22,68,7,7,1,23,7,7,0,7
transfer,com.paymybudy.transfer.dal.service,MoneyTransferService,26,256,1,13,7,62,1,15,0,9
transfer,com.paymybudy.transfer.dal.service,UserDalServiceBean,34,157,11,15,3,44,11,12,0,10
transfer,com.paymybudy.transfer.dal.service,AppAccountDalServiceBean,24,71,8,8,2,24,8,7,0,7
transfer,com.paymybudy.transfer.web.dto,UserRegistrationDto,19,27,0,0,5,5,5,5,5,5
